Knights Play Front,6,4,6,5,4,4,5,3,5,42,5/30/2020,,,,,,,,,
Knights Play Front,8,4,4,6,7,6,4,5,4,48,5/5/2020,,,,,,,,,
Knights Play Front,7,6,3,5,6,4,6,6,5,48,6/7/2021,,,,,,,,,
Knights Play Middle,6,6,4,5,3,4,3,4,5,40,6/18/2020,,,,,,,,,
Knights Play Middle,4,4,6,7,3,5,5,4,5,43,7/1/2020,,,,,,,,,
Knights Play Back,6,8,8,6,5,5,4,5,5,52,4/28/2020,,,,,,,,,
Knights Play Back,4,7,5,4,3,5,3,8,6,45,5/8/2020,,,,,,,,,
Knights Play Back,5,9,4,4,3,6,4,4,3,42,5/22/2020,,,,,,,,,
Lochmere,7,6,7,7,6,5,4,5,8,6,5,6,5,5,7,8,5,6,108,5/13/2020
